timestamp,turbine_id,wind_speed,rpm,gearbox_temp,bearing_vibration,power_output,ambient_temp,is_fault
2026-02-01 00:00:00,1,8.79,12.54,50.28,1.222,536.94,15.48,0
2026-02-01 00:10:00,1,9.66,13.28,52.05,1.294,784.12,14.77,0
2026-02-01 00:20:00,1,8.45,11.74,47.67,1.234,439.37,14.95,0
2026-02-01 00:30:00,1,7.3,11.1,45.78,1.309,205.97,15.75,0
2026-02-01 00:40:00,1,6.73,10.23,45.2,1.265,162.58,14.49,0
2026-02-01 00:50:00,1,11.21,15.3,62.49,1.325,1546.04,14.53,0
2026-02-01 01:00:00,1,9.36,13.31,51.45,1.279,689.89,14.59,0
2026-02-01 01:10:00,1,10.33,14.15,56.24,1.275,1048.78,14.58,0
2026-02-01 01:20:00,1,12.07,16.01,68.67,1.288,2005.76,14.77,0
2026-02-01 01:30:00,1,9.58,13.51,52.65,1.247,794.37,14.49,0
2026-02-01 01:40:00,1,9.89,13.71,53.43,1.135,888.64,13.32,0
2026-02-01 01:50:00,1,10.98,14.7,60.16,1.295,1383.66,14.15,0
2026-02-01 02:00:00,1,7.98,11.46,44.92,1.194,311.29,13.53,0
2026-02-01 02:10:00,1,8.51,12.12,48.18,1.2,435.83,14.54,0
2026-02-01 02:20:00,1,8.62,12.37,46.42,1.179,484.75,12.54,0
2026-02-01 02:30:00,1,10.4,14.13,55.55,1.246,1102.04,12.93,0
2026-02-01 02:40:00,1,8.93,12.48,47.54,1.262,572.53,12.62,0
2026-02-01 02:50:00,1,11.63,15.65,64.64,1.369,1766.95,13.58,0
2026-02-01 03:00:00,1,8.84,12.14,48.1,1.26,533.76,13.18,0
2026-02-01 03:10:00,1,8.22,11.77,45.73,1.161,400.36,13.06,0
2026-02-01 03:20:00,1,9.69,13.54,49.9,1.275,836.36,12.73,0
2026-02-01 03:30:00,1,9.61,13.1,51.45,1.204,801.26,13.17,0
2026-02-01 03:40:00,1,9.27,13.03,48.94,1.176,681.64,13.25,0
2026-02-01 03:50:00,1,7.0,10.27,43.51,1.204,187.97,13.08,0
2026-02-01 04:00:00,1,8.56,12.19,46.87,1.225,491.59,12.89,0
2026-02-01 04:10:00,1,10.55,14.51,55.64,1.345,1155.45,12.27,0
2026-02-01 04:20:00,1,9.0,12.62,48.86,1.228,586.26,12.66,0
2026-02-01 04:30:00,1,8.57,12.01,45.54,1.27,461.6,12.28,0
2026-02-01 04:40:00,1,8.69,12.4,47.74,1.245,486.97,12.9,0
2026-02-01 04:50:00,1,7.81,11.24,45.89,1.193,321.63,14.07,0
2026-02-01 05:00:00,1,7.99,11.43,45.58,1.093,349.95,13.51,0
2026-02-01 05:10:00,1,8.09,11.56,45.57,1.135,370.84,13.07,0
2026-02-01 05:20:00,1,10.09,14.02,53.68,1.243,969.67,13.15,0
2026-02-01 05:30:00,1,8.98,12.77,47.75,1.248,568.82,13.02,0
2026-02-01 05:40:00,1,7.21,10.89,43.97,1.162,205.83,13.12,0
2026-02-01 05:50:00,1,10.27,14.29,54.83,1.303,1038.54,13.81,0
2026-02-01 06:00:00,1,7.48,10.76,45.94,1.227,248.24,13.89,0
2026-02-01 06:10:00,1,9.79,13.7,53.75,1.228,852.88,14.65,0
2026-02-01 06:20:00,1,7.02,10.19,43.87,1.229,176.63,13.86,0
