timestamp,turbine_id,wind_speed,rpm,gearbox_temp,bearing_vibration,power_output,ambient_temp,is_fault
2026-01-01 00:00:00,1,8.75,12.12,50.38,1.148,532.18,15.35,0
2026-01-01 00:10:00,1,10.47,14.21,56.62,1.157,1131.53,14.45,0
2026-01-01 00:20:00,1,10.22,14.12,56.19,1.201,1023.62,15.15,0
2026-01-01 00:30:00,1,10.21,13.83,56.25,1.247,1034.76,15.48,0
2026-01-01 00:40:00,1,9.5,13.09,52.43,1.25,740.82,15.09,0
2026-01-01 00:50:00,1,8.34,12.12,48.26,1.134,428.37,14.85,0
2026-01-01 01:00:00,1,8.04,11.6,47.58,1.231,355.0,14.32,0
2026-01-01 01:10:00,1,8.15,11.75,46.86,1.073,376.04,14.78,0
2026-01-01 01:20:00,1,10.93,14.65,61.33,1.237,1365.65,15.17,0
2026-01-01 01:30:00,1,10.14,13.8,56.53,1.264,1018.86,14.43,0
2026-01-01 01:40:00,1,7.14,10.42,45.15,1.119,179.74,14.42,0
2026-01-01 01:50:00,1,8.33,11.93,48.02,1.156,423.66,14.25,0
2026-01-01 02:00:00,1,7.94,11.4,46.78,1.172,358.58,14.1,0
2026-01-01 02:10:00,1,9.58,12.94,53.17,1.275,763.62,14.56,0
2026-01-01 02:20:00,1,9.01,12.66,51.38,1.169,608.3,15.0,0
2026-01-01 02:30:00,1,8.73,12.57,49.36,1.236,517.55,14.83,0
2026-01-01 02:40:00,1,9.5,13.15,52.14,1.191,750.75,14.11,0
2026-01-01 02:50:00,1,9.07,12.63,49.54,1.313,640.61,13.72,0
2026-01-01 03:00:00,1,10.41,14.4,56.45,1.182,1104.26,14.36,0
2026-01-01 03:10:00,1,6.19,9.56,43.58,1.13,98.21,14.69,0
2026-01-01 03:20:00,1,10.86,14.94,60.11,1.289,1326.22,14.5,0
2026-01-01 03:30:00,1,9.95,13.92,53.7,1.193,906.15,14.15,0
2026-01-01 03:40:00,1,6.29,9.81,44.2,1.073,100.62,14.71,0
2026-01-01 03:50:00,1,7.3,10.99,44.65,1.169,209.9,13.73,0
2026-01-01 04:00:00,1,9.77,13.64,52.32,1.232,837.51,14.87,0
2026-01-01 04:10:00,1,7.24,10.92,45.43,1.106,244.0,14.62,0
2026-01-01 04:20:00,1,8.16,11.67,48.08,1.208,381.44,14.91,0
2026-01-01 04:30:00,1,6.8,10.27,44.35,1.216,142.65,14.48,0
2026-01-01 04:40:00,1,9.14,12.64,50.83,1.265,634.83,14.36,0
2026-01-01 04:50:00,1,8.6,12.23,48.77,1.225,477.41,14.05,0
2026-01-01 05:00:00,1,9.44,13.14,54.35,1.203,744.3,15.86,0
2026-01-01 05:10:00,1,7.84,11.26,46.23,1.125,311.13,15.02,0
2026-01-01 05:20:00,1,6.16,9.58,45.1,1.275,85.27,15.23,0
2026-01-01 05:30:00,1,9.54,13.42,53.61,1.21,780.21,15.32,0
2026-01-01 05:40:00,1,6.26,9.57,45.82,1.216,127.07,15.72,0
2026-01-01 05:50:00,1,9.02,12.52,50.94,1.266,581.04,15.59,0
2026-01-01 06:00:00,1,6.6,10.18,44.76,1.151,122.23,15.58,0
2026-01-01 06:10:00,1,6.9,10.06,45.59,1.223,144.68,15.53,0
2026-01-01 06:20:00,1,8.27,12.04,49.0,1.107,391.25,15.91,0
2026-01-01 06:30:00,1,7.03,10.4,45.63,1.139,172.48,16.15,0
2026-01-01 06:40:00,1,6.32,9.58,45.27,1.136,72.14,16.06,0
2026-01-01 06:50:00,1,9.79,13.44,55.25,1.205,857.08,16.31,0
2026-01-01 07:00:00,1,8.7,12.43,50.01,1.111,500.87,15.96,0
2026-01-01 07:10:00,1,8.05,11.37,49.63,1.104,371.85,16.83,0
2026-01-01 07:20:00,1,9.07,12.76,53.05,1.192,613.49,16.7,0
2026-01-01 07:30:00,1,7.48,11.06,48.04,1.15,238.32,17.31,0
2026-01-01 07:40:00,1,9.61,13.48,53.94,1.219,787.38,15.51,0
2026-01-01 07:50:00,1,9.89,13.68,55.96,1.242,906.18,16.32,0
2026-01-01 08:00:00,1,8.25,11.99,50.73,1.191,395.67,16.65,0
2026-01-01 08:10:00,1,10.52,14.22,60.72,1.206,1158.82,17.59,0
2026-01-01 08:20:00,1,10.3,13.94,60.13,1.26,1059.21,17.56,0
2026-01-01 08:30:00,1,7.86,11.52,48.56,1.17,320.61,17.8,0
2026-01-01 08:40:00,1,8.48,12.17,53.69,1.258,457.96,18.44,0
2026-01-01 08:50:00,1,6.88,10.39,46.8,1.132,152.23,17.99,0
2026-01-01 09:00:00,1,8.4,12.09,52.62,1.166,440.36,18.94,0
2026-01-01 09:10:00,1,8.12,11.8,50.82,1.125,353.4,18.3,0
2026-01-01 09:20:00,1,8.2,11.76,51.83,1.244,407.4,18.81,0
2026-01-01 09:30:00,1,7.7,11.16,50.89,1.184,285.72,19.19,0
2026-01-01 09:40:00,1,8.34,11.95,53.57,1.197,421.1,19.4,0
2026-01-01 09:50:00,1,8.74,12.22,53.92,1.192,504.55,19.01,0
2026-01-01 10:00:00,1,7.96,11.61,51.15,1.167,347.67,18.92,0
2026-01-01 10:10:00,1,9.03,12.64,55.39,1.233,616.26,19.79,0
2026-01-01 10:20:00,1,7.87,11.42,51.89,1.154,319.25,19.32,0
2026-01-01 10:30:00,1,10.39,14.34,62.62,1.252,1069.99,19.9,0
2026-01-01 10:40:00,1,8.5,11.98,52.95,1.141,482.91,19.56,0
2026-01-01 10:50:00,1,7.59,11.12,52.17,1.193,276.16,20.49,0
2026-01-01 11:00:00,1,8.37,11.84,52.97,1.185,443.99,19.39,0
2026-01-01 11:10:00,1,6.52,9.78,50.82,1.207,114.46,20.59,0
2026-01-01 11:20:00,1,8.79,12.5,55.1,1.148,540.92,20.52,0
2026-01-01 11:30:00,1,8.09,11.59,54.06,1.127,363.83,21.53,0
2026-01-01 11:40:00,1,8.63,12.42,56.03,1.204,496.95,21.57,0
2026-01-01 11:50:00,1,7.98,11.65,52.78,1.212,342.73,20.55,0
2026-01-01 12:00:00,1,10.57,14.35,64.8,1.302,1211.52,21.23,0
2026-01-01 12:10:00,1,11.7,15.59,72.3,1.385,1827.52,20.92,0
2026-01-01 12:20:00,1,9.41,13.05,58.16,1.225,721.41,21.36,0
2026-01-01 12:30:00,1,8.83,12.43,57.19,1.154,536.63,21.61,0
2026-01-01 12:40:00,1,6.86,10.42,52.11,1.142,158.39,21.85,0
2026-01-01 12:50:00,1,9.54,13.08,60.6,1.221,772.54,23.02,0
2026-01-01 13:00:00,1,9.01,12.88,57.43,1.26,577.8,21.25,0
2026-01-01 13:10:00,1,8.24,11.76,54.0,1.195,391.8,21.35,0
2026-01-01 13:20:00,1,7.36,10.72,53.96,1.249,227.83,22.4,0
2026-01-01 13:30:00,1,14.18,15.87,76.36,1.297,1991.95,22.2,0
2026-01-01 13:40:00,1,10.83,14.31,67.72,1.179,1329.39,21.95,0
2026-01-01 13:50:00,1,10.46,13.98,66.46,1.254,1145.49,23.26,0
2026-01-01 14:00:00,1,10.52,14.27,66.21,1.201,1168.56,21.96,0
2026-01-01 14:10:00,1,10.94,14.62,68.13,1.256,1364.84,21.99,0
2026-01-01 14:20:00,1,10.05,13.72,62.88,1.235,952.12,22.43,0
2026-01-01 14:30:00,1,9.0,12.97,57.46,1.284,599.93,21.25,0
2026-01-01 14:40:00,1,8.87,12.66,57.83,1.216,558.52,21.6,0
2026-01-01 14:50:00,1,11.79,15.79,72.58,1.231,1832.27,21.85,0
2026-01-01 15:00:00,1,11.24,15.12,70.17,1.214,1538.49,22.59,0
2026-01-01 15:10:00,1,9.07,12.54,58.47,1.19,617.64,22.12,0
2026-01-01 15:20:00,1,9.32,13.02,58.75,1.283,720.49,21.93,0
2026-01-01 15:30:00,1,11.19,15.36,69.15,1.274,1494.11,22.3,0
2026-01-01 15:40:00,1,10.01,13.52,62.6,1.207,937.79,22.26,0
2026-01-01 15:50:00,1,10.97,14.96,67.79,1.307,1369.95,22.28,0
2026-01-01 16:00:00,1,11.92,15.73,74.78,1.255,1961.19,22.04,0
2026-01-01 16:10:00,1,10.73,15.01,66.25,1.263,1276.81,21.88,0
2026-01-01 16:20:00,1,10.88,14.61,68.19,1.244,1353.45,22.02,0
2026-01-01 16:30:00,1,12.37,16.02,75.15,1.295,2004.81,22.07,0
2026-01-01 16:40:00,1,9.1,12.74,58.33,1.218,608.07,21.45,0
